%Automatically built ARFF-file
%Feature sets: ['max_sentiment', 'min_sentiment', 'avg_sentiment_no_neutral', 'baseline', 'avg_sentiment_no_neutral_unigrams']
@RELATION sentiment

@ATTRIBUTE avg_sentiment_no_neutral NUMERIC
@ATTRIBUTE avg_sentiment_no_neutral_unigrams NUMERIC
@ATTRIBUTE baseline NUMERIC
@ATTRIBUTE max_sentiment NUMERIC
@ATTRIBUTE min_sentiment NUMERIC
@ATTRIBUTE sentiment {"-", "+"}

@DATA
0.72222,0.625,0.530555333333,0.72222,0.5,"+"
?,0.90278,0.569444,0.5,0.5,"+"
0.90278,0.691666,0.546295555556,0.90278,0.5,"+"
?,0.75926,0.551215625,0.5,0.5,"+"
0.83333,0.78472,0.564814444444,0.83333,0.5,"+"
?,0.75,0.5703125,0.5,0.5,"+"
0.38889,0.4138875,0.499206285714,0.5,0.38889,"+"
?,0.71528,0.514660833333,0.5,0.5,"+"
0.69444,0.68889,0.532539428571,0.69444,0.5,"+"
?,0.868055,0.5613425,0.58333,0.5,"+"
?,0.541666666667,0.512077391304,0.5,0.44444,"+"
0.76389,0.805555,0.532894736842,0.76389,0.5,"+"
?,0.680556,0.546297083333,0.51389,0.5,"+"
0.93056,0.605558,0.525327352941,0.93056,0.5,"+"
0.61111,0.444443333333,0.487036666667,0.61111,0.5,"+"
?,0.375,0.498148,0.5,0.5,"+"
?,0.625,0.52257,0.5,0.5,"+"
0.81944,0.73611,0.537036666667,0.81944,0.52778,"+"
0.31944,0.494444,0.495949166667,0.5,0.31944,"+"
?,0.514813333333,0.525966521739,0.5,0.5,"+"
?,0.404165,0.524305,0.5,0.5,"-"
?,0.574073333333,0.5088884,0.5,0.5,"-"
?,?,0.48611,0.5,0.44444,"+"
?,0.38889,0.491379310345,0.5,0.43056,"+"
?,0.57986,0.514858372093,0.5,0.5,"+"
?,0.756945,0.527007222222,0.5,0.5,"+"
0.33333,0.38889,0.483334,0.5,0.33333,"+"
?,0.694445,0.54298952381,0.5,0.5,"+"
?,0.7,0.535416333333,0.5,0.5,"+"
?,0.5798625,0.509615769231,0.54167,0.5,"+"
0.83333,0.76389,0.516025384615,0.83333,0.5,"+"
0.80556,0.736113333333,0.546006875,0.80556,0.5,"+"
?,0.71528,0.531745714286,0.59722,0.5,"+"
0.73611,0.875,0.554563571429,0.73611,0.5,"+"
0.84722,0.800926666667,0.565170769231,0.84722,0.5,"+"
?,0.564813333333,0.527777777778,0.5,0.5,"+"
?,0.77778,0.579365714286,0.5,0.5,"+"
0.75,0.578703333333,0.510995833333,0.75,0.5,"+"
?,0.473146666667,0.5188892,0.5,0.5,"+"
?,0.506945,0.510101818182,0.5,0.5,"+"
?,0.552778,0.507663103448,0.5,0.5,"+"
0.61111,0.603174285714,0.51458325,0.61111,0.5,"+"
?,0.479165,0.497806842105,0.52778,0.5,"+"
0.63889,0.58796,0.508838636364,0.63889,0.5,"+"
?,0.685186666667,0.534357368421,0.5,0.5,"+"
?,0.72222,0.521990833333,0.52778,0.5,"+"
?,0.73611,0.521465454545,0.56944,0.5,"+"
0.91667,0.791666666667,0.549382777778,0.91667,0.5,"+"
0.66667,0.6354175,0.539020952381,0.66667,0.5,"+"
0.81944,0.75,0.53373047619,0.81944,0.5,"+"
?,0.680555,0.520502857143,0.5,0.44444,"+"
?,0.66667,0.541666666667,0.5,0.5,"+"
0.625,0.694445,0.580556,0.625,0.5,"+"
?,0.325,0.494281764706,0.5,0.5,"+"
?,0.703706666667,0.549768333333,0.58333,0.5,"+"
?,0.7222225,0.531517307692,0.51389,0.5,"+"
0.70833,0.81944,0.553571428571,0.70833,0.5,"+"
0.73611,0.62222,0.5388885,0.73611,0.5,"+"
?,0.506945,0.506944444444,0.5,0.5,"+"
?,0.479165,0.486111111111,0.55556,0.5,"-"
?,0.465275,0.505267931034,0.5,0.5,"-"
0.76389,0.777776666667,0.529411764706,0.76389,0.5,"+"
?,0.694445,0.515096521739,0.51389,0.5,"+"
?,0.79167,0.555556363636,0.59722,0.5,"+"
?,0.66667,0.510101818182,0.5,0.5,"+"
0.61111,0.63889,0.506173333333,0.61111,0.5,"-"
0.76389,0.66667,0.523809285714,0.76389,0.5,"+"
?,0.75,0.53993,0.5,0.5,"+"
?,?,0.501984285714,0.5,0.5,"+"
?,?,0.504273846154,0.5,0.5,"+"
0.80556,0.625,0.538888,0.80556,0.5,"+"
0.83333,0.493055,0.5027775,0.83333,0.5,"+"
0.70833,0.649305,0.522030689655,0.70833,0.5,"+"
0.63889,0.38889,0.495238,0.63889,0.5,"+"
?,0.506945,0.497685,0.5,0.40278,"+"
0.68056,0.75347,0.554861,0.68056,0.5,"+"
?,0.627315,0.529835555556,0.5,0.47222,"+"
?,0.4,0.492238529412,0.59722,0.5,"+"
?,0.525,0.511317407407,0.55556,0.5,"+"
?,0.88889,0.5350004,0.5,0.5,"+"
?,0.416665,0.4972225,0.56944,0.5,"+"
?,0.666666666667,0.523727083333,0.5,0.5,"+"
0.72222,0.7256925,0.527777692308,0.72222,0.5,"+"
0.66667,0.519841428571,0.50957862069,0.66667,0.5,"+"
?,0.6979175,0.527369411765,0.5,0.41667,"+"
0.14583,0.14583,0.470138,0.5,0.14583,"-"
?,0.671296666667,0.531843170732,0.5,0.44444,"+"
0.625,0.782406666667,0.576388333333,0.625,0.5,"+"
?,0.22222,0.454364285714,0.47222,0.45833,"-"
?,0.523146666667,0.5,0.58333,0.5,"-"
0.76389,0.597223333333,0.529167,0.76389,0.5,"+"
?,0.70833,0.530556,0.52778,0.5,"+"
?,0.63889,0.517857857143,0.5,0.5,"+"
?,0.79167,0.530093333333,0.5,0.5,"-"
?,0.51389,0.506687407407,0.56944,0.5,"+"
0.83333,0.63889,0.5300004,0.83333,0.5,"+"
0.65278,0.412963333333,0.50925952381,0.65278,0.5,"+"
?,0.583333333333,0.505556,0.5,0.5,"+"
?,0.6284725,0.525173125,0.5,0.45833,"+"
?,0.506945,0.503156818182,0.5,0.5,"+"
?,0.6111125,0.516738461538,0.5,0.5,"+"
?,0.71528,0.543056,0.5,0.5,"+"
?,0.506945,0.496731764706,0.5,0.5,"-"
?,0.80556,0.536112,0.5,0.47222,"+"
?,0.86111,0.560185,0.5,0.5,"+"
?,?,0.509722333333,0.5,0.5,"-"
0.79167,0.791665,0.555554444444,0.79167,0.5,"+"
0.75,0.61111,0.535493333333,0.75,0.5,"+"
0.72222,0.659725,0.5460075,0.72222,0.5,"+"
?,0.494444,0.508101666667,0.5,0.5,"+"
?,0.61111,0.5277775,0.5,0.5,"+"
0.88889,0.6423625,0.534314117647,0.88889,0.5,"+"
0.83333,0.63889,0.530754285714,0.83333,0.5,"+"
?,0.80556,0.530303636364,0.51389,0.5,"+"
?,0.5,0.504273846154,0.54167,0.5,"+"
0.77778,0.438195,0.501029259259,0.77778,0.5,"+"
0.93056,0.627315,0.547839444444,0.93056,0.5,"+"
0.75,0.75,0.521954193548,0.75,0.5,"+"
